iter	Recall	Logloss
0	0.8098052851	0.6930803781
1	0.8097158752	0.6930133971
2	0.8097357441	0.6929467097
3	0.8097357441	0.6928803157
4	0.8097754818	0.6928140392
5	0.8097854163	0.6927476453
6	0.8097854163	0.692682308
7	0.8097655474	0.6926162076
8	0.8097754818	0.6925504007
9	0.8097754818	0.6924855918
10	0.8097754818	0.6924204306
11	0.8097754818	0.6923550346
12	0.8097754818	0.692290167
13	0.8097754818	0.6922255342
14	0.8097655474	0.6921613123
15	0.8097754818	0.6920966207
16	0.8097854163	0.6920325162
17	0.8097754818	0.6919684705
18	0.8097854163	0.6919044834
19	0.8097854163	0.6918408485
20	0.8097754818	0.6917773898
21	0.8097854163	0.6917137549
22	0.8097754818	0.6916504723
23	0.8097754818	0.6915870135
24	0.8097854163	0.6915235548
25	0.8097854163	0.6914611527
26	0.8097854163	0.6913984571
27	0.8097854163	0.691336055
28	0.8097854163	0.6912740051
29	0.8097854163	0.6912117792
30	0.8097854163	0.6911498467
31	0.8097854163	0.6910877969
32	0.8097854163	0.6910258644
33	0.8097854163	0.6909646951
34	0.8097854163	0.6909034671
35	0.8097854163	0.6908417695
36	0.8097854163	0.690780835
37	0.8097854163	0.6907194895
38	0.8097854163	0.6906590247
39	0.8097854163	0.6905982663
40	0.8097854163	0.6905377428
41	0.8097854163	0.6904773366
42	0.8097854163	0.6904174001
43	0.8097854163	0.6903578158
44	0.8097854163	0.6902978792
45	0.8097854163	0.6902382362
46	0.8097854163	0.6901787693
47	0.8097854163	0.6901187741
48	0.8097854163	0.6900603639
49	0.8097854163	0.6900007796
50	0.8097854163	0.6899420171
51	0.8097854163	0.689883196
52	0.8097854163	0.6898246096
53	0.8097854163	0.6897663755
54	0.8097854163	0.6897077305
55	0.8097854163	0.6896497312
56	0.8097854163	0.6895916732
57	0.8097854163	0.6895343196
58	0.8097854163	0.6894761442
59	0.8097854163	0.6894186145
60	0.8097854163	0.6893609675
61	0.8097854163	0.68930379
62	0.8097854163	0.6892467887
63	0.8097854163	0.6891896112
64	0.8097854163	0.6891329621
65	0.8097854163	0.6890755498
66	0.8097854163	0.6890194878
67	0.8097854163	0.6889631322
68	0.8097854163	0.6889070114
69	0.8097854163	0.6888507732
70	0.8097854163	0.6887953569
71	0.8097854163	0.6887394709
72	0.8097854163	0.6886835262
73	0.8097854163	0.688628286
74	0.8097854163	0.6885729871
75	0.8097854163	0.688517512
76	0.8097854163	0.688462624
77	0.8097854163	0.6884076773
78	0.8097854163	0.6883529067
79	0.8097854163	0.6882980774
80	0.8097854163	0.6882435416
81	0.8097854163	0.688189182
82	0.8097854163	0.6881347049
83	0.8097854163	0.6880805213
84	0.8097854163	0.6880260443
85	0.8097854163	0.687972389
86	0.8097854163	0.6879189686
87	0.8097854163	0.687865783
88	0.8097854163	0.6878120691
89	0.8097854163	0.6877590009
90	0.8097854163	0.6877051109
91	0.8097854163	0.6876522775
92	0.8097854163	0.6875995028
93	0.8097854163	0.6875464934
94	0.8097854163	0.687494247
95	0.8097854163	0.6874417659
96	0.8097854163	0.6873891673
97	0.8097854163	0.6873368036
98	0.8097854163	0.6872848508
99	0.8097854163	0.6872327805
100	0.8097854163	0.6871811213
101	0.8097854163	0.6871293445
102	0.8097854163	0.6870776265
103	0.8097854163	0.6870266717
104	0.8097854163	0.6869753646
105	0.8097854163	0.6869243511
106	0.8097854163	0.6868728092
107	0.8097854163	0.6868218543
108	0.8097854163	0.6867713104
109	0.8097854163	0.6867205904
110	0.8097854163	0.6866700464
111	0.8097854163	0.686619796
112	0.8097854163	0.6865693108
113	0.8097854163	0.6865192365
114	0.8097854163	0.6864691622
115	0.8097854163	0.6864198511
116	0.8097854163	0.6863698355
117	0.8097854163	0.686319996
118	0.8097854163	0.6862707436
119	0.8097754818	0.686221315
120	0.8097754818	0.6861721213
121	0.8097854163	0.6861227514
122	0.8097754818	0.6860742034
123	0.8097754818	0.6860253032
124	0.8097754818	0.6859762269
125	0.8097754818	0.6859276789
126	0.8097854163	0.6858794244
127	0.8097854163	0.685830759
128	0.8097854163	0.6857825632
129	0.8097754818	0.6857343087
130	0.8097854163	0.6856868761
131	0.8097854163	0.6856389738
132	0.8097754818	0.685590602
133	0.8097754818	0.6855433454
134	0.8097754818	0.6854959128
135	0.8097754818	0.6854480106
136	0.8097754818	0.6854005779
137	0.8097754818	0.685353791
138	0.8097754818	0.685306828
139	0.8097754818	0.6852597476
140	0.8097754818	0.6852129608
141	0.8097754818	0.6851665261
142	0.8097754818	0.6851202675
143	0.8097754818	0.6850735981
144	0.8097754818	0.6850271047
145	0.8097754818	0.6849810223
146	0.8097754818	0.6849349398
147	0.8097754818	0.6848890922
148	0.8097754818	0.6848434207
149	0.8097754818	0.6847973382
150	0.8097754818	0.6847515493
151	0.8097754818	0.6847061713
152	0.8097754818	0.6846611455
153	0.8097754818	0.6846156501
154	0.8097754818	0.6845708005
155	0.8097754818	0.684525716
156	0.8097754818	0.6844809837
157	0.8097754818	0.6844361928
158	0.8097754818	0.6843912844
159	0.8097754818	0.6843466696
160	0.8097754818	0.6843024069
161	0.8097754818	0.6842580269
162	0.8097754818	0.6842132947
163	0.8097754818	0.6841692081
164	0.8097754818	0.6841254739
165	0.8097754818	0.6840813873
166	0.8097754818	0.6840374769
167	0.8097754818	0.6839938601
168	0.8097754818	0.6839501258
169	0.8097754818	0.6839068611
170	0.8097754818	0.6838633029
171	0.8097754818	0.683820097
172	0.8097754818	0.6837766562
173	0.8097754818	0.6837342721
174	0.8097754818	0.683691301
175	0.8097754818	0.6836485646
176	0.8097754818	0.6836059457
177	0.8097754818	0.6835632681
178	0.8097754818	0.6835211188
179	0.8097754818	0.6834782651
180	0.8097754818	0.6834358222
181	0.8097754818	0.6833938491
182	0.8097754818	0.6833519346
183	0.8097854163	0.6833097266
184	0.8097754818	0.6832679295
185	0.8097754818	0.6832261912
186	0.8097854163	0.6831846289
187	0.8097854163	0.6831431254
188	0.8097854163	0.6831014457
189	0.8097854163	0.6830602944
190	0.8097854163	0.683019554
191	0.8097854163	0.6829778743
192	0.8097854163	0.6829373687
193	0.8097854163	0.6828963348
194	0.8097854163	0.6828559466
195	0.8097854163	0.682814854
196	0.8097854163	0.6827742897
197	0.8097854163	0.6827335493
198	0.8097854163	0.6826933373
199	0.8097854163	0.6826525382
200	0.8097854163	0.6826126196
201	0.8097854163	0.6825727598
202	0.8097854163	0.6825329586
203	0.8097854163	0.6824929227
204	0.8097854163	0.6824532389
205	0.8097854163	0.6824133204
206	0.8097854163	0.6823738128
207	0.8097854163	0.6823344226
208	0.8097754818	0.6822949736
209	0.8097854163	0.6822559357
210	0.8097854163	0.6822166041
211	0.8097854163	0.6821775662
212	0.8097854163	0.6821389978
213	0.8097854163	0.6820997837
214	0.8097854163	0.6820611566
215	0.8097854163	0.6820227057
216	0.8097854163	0.6819837851
217	0.8097854163	0.6819452167
218	0.8097854163	0.6819070006
219	0.8097854163	0.681868667
220	0.8097854163	0.6818305096
221	0.8097854163	0.6817927631
222	0.8097854163	0.6817544883
223	0.8097854163	0.6817167417
224	0.8097854163	0.681678643
225	0.8097854163	0.6816416597
226	0.8097854163	0.6816033848
227	0.8097854163	0.6815661079
228	0.8097854163	0.6815285962
229	0.8097854163	0.6814913194
230	0.8097854163	0.6814541012
231	0.8097854163	0.681416883
232	0.8097854163	0.6813800171
233	0.8097854163	0.6813430924
234	0.8097854163	0.6813067548
235	0.8097854163	0.6812695366
