iter	Passed	Remaining
0	17	15221
1	35	14940
2	52	14873
3	69	14843
4	88	14981
5	106	15122
6	123	15010
7	141	14991
8	159	14974
9	176	14936
10	194	14890
11	211	14828
12	228	14814
13	264	15897
14	283	15866
15	301	15792
16	318	15699
17	334	15570
18	351	15475
19	369	15406
20	386	15339
21	404	15302
22	421	15232
23	435	15085
24	453	15067
25	469	14958
26	483	14831
27	499	14743
28	514	14666
29	537	14767
30	551	14653
31	568	14615
32	583	14529
33	597	14433
34	612	14347
35	628	14291
36	645	14271
37	660	14200
38	676	14147
39	690	14069
40	707	14054
41	722	13988
42	737	13931
43	755	13923
44	770	13876
45	788	13868
46	803	13813
47	821	13810
48	836	13755
49	851	13715
50	870	13727
51	885	13670
52	899	13616
53	915	13576
54	930	13528
55	947	13523
56	966	13527
57	984	13526
58	1001	13506
59	1018	13499
60	1033	13453
61	1050	13435
62	1066	13402
63	1085	13421
64	1105	13441
65	1121	13404
66	1138	13391
67	1154	13358
68	1169	13324
69	1184	13284
70	1199	13246
71	1216	13233
72	1234	13226
73	1250	13198
74	1269	13203
75	1286	13187
76	1304	13176
77	1319	13140
78	1337	13137
79	1355	13131
80	1373	13124
81	1390	13109
82	1408	13097
83	1427	13101
84	1442	13063
85	1458	13045
86	1479	13061
87	1497	13056
88	1515	13039
89	1534	13041
90	1553	13045
91	1574	13059
92	1593	13057
93	1608	13022
94	1626	13009
95	1644	13003
96	1665	13011
97	1681	12992
98	1699	12980
99	1718	12973
100	1737	12968
101	1752	12939
102	1769	12920
103	1789	12924
104	1809	12923
105	1829	12925
106	1846	12909
107	1866	12909
108	1884	12894
109	1905	12902
110	1929	12930
111	1947	12920
112	1964	12902
113	1984	12896
114	2003	12892
115	2025	12901
116	2044	12895
117	2063	12888
118	2083	12884
119	2102	12879
120	2119	12859
121	2139	12856
122	2159	12850
123	2178	12839
124	2196	12827
125	2217	12830
126	2241	12846
127	2258	12830
128	2278	12825
129	2294	12797
130	2314	12792
131	2331	12772
132	2350	12762
133	2369	12749
134	2387	12734
135	2407	12725
136	2425	12713
137	2449	12727
138	2468	12715
139	2487	12705
140	2510	12711
141	2530	12705
142	2550	12698
143	2567	12676
144	2584	12653
145	2602	12637
146	2619	12616
147	2638	12603
148	2660	12604
149	2677	12582
150	2695	12566
151	2714	12556
152	2730	12530
153	2750	12519
154	2767	12498
155	2786	12487
156	2806	12475
157	2824	12459
158	2843	12447
159	2863	12437
160	2884	12435
161	2903	12418
162	2917	12387
163	2936	12371
164	2956	12363
165	2975	12350
166	2995	12339
167	3014	12328
168	3032	12310
169	3050	12292
170	3070	12283
171	3090	12273
172	3110	12263
173	3130	12252
174	3149	12238
175	3167	12218
176	3183	12194
177	3202	12182
178	3218	12154
179	3244	12168
180	3263	12153
181	3278	12124
182	3299	12114
183	3318	12102
184	3337	12086
185	3356	12073
186	3381	12080
187	3399	12060
188	3422	12059
189	3442	12049
190	3461	12034
191	3478	12011
192	3499	12003
193	3517	11986
194	3550	12017
195	3569	12000
196	3591	11995
197	3610	11979
198	3629	11966
199	3651	11957
200	3684	11987
201	3704	11973
202	3722	11955
203	3738	11931
204	3754	11904
205	3774	11893
206	3794	11879
207	3812	11859
208	3833	11849
209	3856	11846
210	3875	11829
211	3891	11801
212	3909	11783
213	3927	11764
214	3944	11741
215	3966	11732
216	3985	11717
217	4005	11703
218	4023	11686
219	4042	11667
220	4058	11643
221	4083	11644
222	4103	11630
223	4123	11615
224	4143	11601
225	4162	11585
226	4185	11578
227	4201	11553
228	4221	11540
229	4241	11525
230	4260	11509
231	4283	11502
232	4301	11482
233	4319	11462
234	4339	11449
235	4358	11431
236	4376	11412
237	4399	11405
238	4418	11388
239	4439	11375
240	4457	11357
241	4476	11339
242	4493	11317
243	4511	11298
244	4528	11276
245	4547	11257
246	4565	11238
247	4584	11221
248	4603	11204
249	4624	11191
250	4643	11174
251	4666	11165
252	4684	11146
253	4703	11128
254	4726	11121
255	4745	11103
256	4764	11085
257	4780	11061
258	4799	11045
259	4821	11034
260	4841	11019
261	4861	11004
262	4880	10985
263	4901	10973
264	4927	10969
265	4949	10958
266	4967	10939
267	4983	10915
268	5002	10898
269	5022	10883
270	5040	10861
271	5058	10842
272	5079	10828
273	5097	10809
274	5115	10788
275	5136	10775
276	5155	10757
277	5173	10737
278	5194	10724
279	5215	10710
280	5237	10699
281	5258	10685
282	5280	10672
283	5310	10676
284	5327	10654
285	5349	10642
286	5370	10629
287	5389	10610
288	5409	10594
289	5432	10584
290	5458	10579
291	5476	10558
292	5498	10546
293	5517	10527
294	5536	10509
295	5552	10486
296	5571	10468
297	5591	10450
298	5608	10429
299	5628	10412
300	5647	10393
301	5666	10376
302	5685	10357
303	5705	10341
304	5729	10331
305	5749	10315
306	5767	10295
307	5785	10274
308	5806	10260
309	5824	10240
310	5845	10224
311	5862	10202
312	5881	10183
313	5900	10166
314	5923	10154
315	5941	10134
316	5959	10113
317	5977	10094
318	5992	10068
319	6011	10051
320	6030	10031
321	6048	10012
322	6066	9991
323	6101	10000
324	6121	9982
325	6138	9961
326	6158	9943
327	6172	9917
328	6187	9892
329	6209	9879
330	6228	9859
331	6247	9841
332	6273	9834
333	6291	9813
334	6304	9786
335	6323	9767
336	6342	9748
337	6361	9729
338	6381	9713
339	6402	9697
340	6421	9679
341	6439	9658
342	6457	9638
343	6475	9619
344	6495	9601
345	6514	9584
346	6534	9566
347	6553	9548
348	6572	9529
349	6589	9508
350	6610	9492
351	6629	9473
352	6650	9457
353	6669	9439
354	6690	9423
355	6710	9405
356	6729	9387
357	6749	9370
358	6767	9350
359	6782	9325
360	6806	9313
361	6824	9294
362	6844	9276
363	6863	9258
364	6878	9234
365	6895	9213
366	6915	9196
367	6936	9179
368	6955	9160
369	6973	9141
370	6989	9118
371	7009	9101
372	7028	9082
373	7046	9062
374	7065	9044
375	7083	9024
376	7101	9003
377	7121	8986
378	7141	8968
379	7158	8948
380	7180	8933
381	7197	8911
382	7216	8893
383	7237	8877
384	7256	8858
385	7275	8840
386	7294	8821
387	7314	8803
388	7331	8782
389	7346	8759
390	7371	8748
391	7389	8727
392	7408	8709
393	7428	8691
394	7447	8672
395	7467	8655
396	7487	8637
397	7507	8620
398	7525	8600
399	7543	8580
400	7562	8562
401	7581	8543
402	7599	8523
403	7617	8504
404	7638	8487
405	7657	8468
406	7677	8450
407	7694	8429
408	7713	8410
409	7734	8394
410	7750	8373
411	7770	8355
412	7788	8335
413	7809	8318
414	7827	8298
415	7845	8279
416	7864	8260
417	7882	8240
418	7902	8223
419	7923	8206
420	7942	8187
421	7961	8169
422	7982	8152
423	8001	8133
424	8018	8112
425	8033	8090
426	8050	8069
427	8071	8052
428	8090	8033
429	8108	8014
430	8129	7997
431	8149	7979
432	8167	7960
433	8187	7942
434	8205	7922
435	8224	7903
436	8244	7885
437	8263	7867
438	8282	7848
439	8300	7829
440	8315	7806
441	8334	7787
442	8356	7771
443	8379	7756
444	8399	7738
445	8417	7719
446	8435	7699
447	8454	7680
